count,day,month,year
5116,17,2,2024
6925,10,3,2024
3758,3,4,2024
5999,9,1,2018
3711,26,1,2018
6201,12,3,2018
5884,5,4,2018
5872,16,4,2018
5970,3,1,2018
8565,20,1,2018
6102,2,2,2018
4969,19,2,2018
4156,23,3,2018
5982,22,4,2018
9779,15,5,2018
6116,2,6,2018
7372,19,6,2018
8034,12,7,2018
7679,23,7,2018
7446,5,8,2018
7193,16,8,2018
10502,9,9,2018
6650,26,9,2018
3580,2,10,2018
4215,3,10,2018
3979,19,10,2018
8475,20,10,2018
4820,31,10,2018
5557,13,11,2018
5858,24,11,2018
6495,6,12,2018
5786,17,12,2018
5947,3,1,2019
7733,20,1,2019
4775,13,2,2019
6124,6,3,2019
6492,7,3,2019
5499,18,3,2019
5737,11,4,2019
5414,27,4,2019
5394,28,4,2019
5586,4,5,2019
5789,21,5,2019
4701,14,6,2019
9985,7,7,2019
3535,11,8,2019
6018,4,9,2019
8324,15,9,2019
4889,8,10,2019
5537,25,10,2019
8591,1,11,2019
5759,18,11,2019
3838,29,11,2019
5079,11,12,2019
5745,22,12,2019
5270,23,12,2019
5672,6,1,2020
5128,7,1,2020
4231,17,1,2020
5709,18,1,2020
6846,10,2,2020
4817,11,2,2020
5864,27,2,2020
3985,28,2,2020
5230,4,3,2020
7389,21,3,2020
6335,14,4,2020
6219,25,4,2020
6191,7,5,2020
5853,18,5,2020
8666,15,7,2020
10410,8,8,2020
7336,25,8,2020
12486,1,9,2020
4266,18,9,2020
7497,29,9,2020
4474,11,10,2020
6492,22,10,2020
4061,23,10,2020
7494,15,11,2020
5785,16,11,2020
5697,9,12,2020
4347,26,12,2020
3305,22,1,2021
3455,26,2,2021
3421,19,3,2021
5759,12,4,2021
4972,29,4,2021
9355,5,5,2021
5411,6,5,2021
5650,22,5,2021
7088,15,6,2021
6321,26,6,2021
5892,27,6,2021
4687,20,7,2021
4707,13,8,2021
6071,30,8,2021
6433,6,9,2021
6747,23,9,2021
6104,27,10,2021
6019,3,11,2021
5902,14,11,2021
5612,7,12,2021
3694,24,12,2021
5175,18,1,2022
13743,22,2,2022
7134,15,3,2022
4061,8,4,2022
7942,1,5,2022
2598,2,5,2022
5185,29,5,2022
9000,6,6,2022
7149,22,6,2022
6085,23,6,2022
6947,16,7,2022
5503,9,8,2022
4029,2,9,2022
6689,30,9,2022
5673,23,10,2022
